OK;2020-08-31 23:16:19.181049;
OK;2020-08-31 23:16:24.394144;
OK;2020-08-31 23:20:10.375849;
OK;2020-08-31 23:20:26.552323;
2020-08-31 23:25:49.800878;OK;22;
2020-08-31 23:28:05.099894;OK;22;
2020-08-31 23:28:27.899465;OK;22;
2020-08-31 23:29:07.935886;OK;22;
2020-09-01 10:02:45.664808;OK;50;
2020-09-07 23:13:39.206142;ok;50;
2020-09-07 23:15:53.272749;ok;50;
2020-09-07 23:16:35.328354;ok;50;
2020-09-07 23:18:04.849023;ok;50;
2020-09-07 23:19:16.249919;ok;50;
2020-09-07 23:20:47.814191;ok;50;
2020-09-07 23:23:42.255199;ok;50;
2020-09-07 23:25:28.307315;ok;50;
2020-09-07 23:27:02.208062;ok;50;
2020-09-07 23:27:51.772658;ok;50;
2020-09-07 23:29:45.188277;ok;50;
2020-09-07 23:30:06.580255;ok;50;
2020-09-10 23:02:38.417481;OK;1000;
2020-09-10 23:03:00.479880;OK;50;
2020-09-10 23:03:09.935824;OK;1000;
2020-09-10 23:03:43.787353;OK;50;
2020-09-10 23:03:53.012401;OK;1000;
2020-09-10 23:04:02.435149;OK;50;
2020-09-17 18:45:50.159440;OK;1000;
2020-09-17 18:45:53.438103;OK;50;
2020-09-17 18:45:56.524668;OK;50;
2020-09-17 18:45:59.400584;OK;50;
2020-09-17 18:46:02.563345;OK;50;
2020-09-17 18:46:04.761849;OK;50;
2020-09-17 18:46:07.683594;OK;50;
2020-09-17 18:46:10.834170;OK;50;
2020-09-17 18:46:13.948789;OK;50;
2020-09-17 18:46:31.919235;OK;50;
2020-09-17 18:46:41.077342;OK;50;
2020-09-17 18:47:33.281533;OK;50;
2020-09-17 18:47:45.460715;OK;50;
2020-09-17 18:53:55.395755;OK;50;
2020-09-17 19:17:51.011630;OK;1000;
2020-09-17 19:17:57.039153;OK;1000;
2020-09-17 19:58:25.375712;OK;1000;
2020-09-17 19:58:31.365411;OK;1000;
2020-09-17 19:58:39.401322;OK;1000;
2020-09-17 19:58:46.364162;OK;1000;
2020-09-17 19:59:27.673635;OK;1000;
2020-09-17 19:59:37.531250;OK;1000;
2020-09-17 19:59:40.540920;OK;1000;
2020-09-17 19:59:44.602590;OK;1000;
2020-09-17 19:59:52.575588;OK;1000;
2020-09-17 19:59:56.796730;OK;1000;
2020-09-17 20:00:05.674586;OK;1000;
2020-09-19 13:43:08.456653;OK;1000;
2020-09-19 13:43:23.540025;OK;1000;
2020-09-19 13:44:03.796762;OK;1000;
2020-09-19 13:44:16.759334;OK;1000;
2020-09-19 13:47:55.032161;OK;1000000;
2020-09-19 13:49:26.342202;OK;1000000;
2020-09-19 13:50:05.317264;OFF_E;
2020-09-19 14:15:18.182177;OK;1527525;
2020-09-19 14:41:15.744347;OK;1555475;
2020-09-19 14:41:18.828232;OK;1012;
2020-09-19 14:41:25.781861;OK;5022;
2020-09-19 14:41:28.780745;OK;1013;
2020-09-19 14:41:31.854522;OK;1012;
2020-09-19 14:41:34.825321;OK;1012;
2020-09-19 14:41:37.838929;OK;1013;
2020-09-19 14:44:20.574427;OK;160486;
2020-09-19 14:46:27.812061;OK;125382;
2020-09-19 14:48:29.108176;OK;119366;
2020-09-19 14:50:15.706624;OK;94307;
2020-09-19 14:50:37.711187;OK;1000;
2020-09-19 14:51:00.620964;OK;10000;
2020-09-19 15:00:05.763334;OK;449889;
2020-09-19 15:12:58.531842;OK;10000;
2020-09-19 15:15:42.549518;OK;10000;
2020-09-19 15:18:14.712689;OK;10000;
2020-09-19 15:18:37.905225;OK;10000;
2020-09-19 15:19:44.045398;OK;10000;
2020-09-19 15:20:00.938959;OK;10000;
2020-09-19 15:32:25.473150;OK;449752;
2020-09-19 15:42:16.646475;OK;100;
2020-09-19 16:34:28.565155;OK;193582;
2020-09-19 18:18:38.463881;OK;0;
